0    3    3    0    0.23873241
0    3    3    2    -0.07957747
0    3    5    0    0.07957747
0    3    5    2    0.07957747
0    5    3    0    0.07957747
0    5    3    2    0.07957747
0    5    5    0    0.23873241
0    5    5    2    -0.07957747
2    3    3    0    -0.07957747
2    3    3    2    0.23873241
2    3    5    0    0.07957747
2    3    5    2    0.07957747
2    5    3    0    0.07957747
2    5    3    2    0.07957747
2    5    5    0    -0.07957747
2    5    5    2    0.23873241
3    0    0    3    0.23873241
3    0    0    5    -0.07957747
3    0    2    3    0.07957747
3    0    2    5    0.07957747
3    2    0    3    0.07957747
3    2    0    5    0.07957747
3    2    2    3    0.23873241
3    2    2    5    -0.07957747
5    0    0    3    -0.07957747
5    0    0    5    0.23873241
5    0    2    3    0.07957747
5    0    2    5    0.07957747
5    2    0    3    0.07957747
5    2    0    5    0.07957747
5    2    2    3    -0.07957747
5    2    2    5    0.23873241
